"","title","artist","year","lyrics","id"
"31","Iris Wide Winged Bird Version","Big Thief",2018,"[Verse 1]
We jumped straight into
The iris of the lake
You threw your arms around my neck, you knew
My heart was yours
My heart was yours

[Verse 2]
Stay up late into
The iris of the day
You said just one more cigarette, you knew
My heart was yours
My heart was yours

[Verse 3]
Man you change, you grew
You grew another face
You chewed my flesh and spit the taste, you knew
My heart was yours
My heart was yours
[Outro]
And everybody and I never knew before
You tell me what you needed and you need a little
You know that you a ten and it ain't you again
I know, I know, I know, oh
Oh everybody and I never knew before
You tell me what you needed and you want a little
You know you a da-na-na-na-na-na-na-na-na
I know, I know, I know",3712442
"32","Shoulders","Big Thief",2019,"[Verse 1]
Please wake up
Please wake up
Touch my skin and
Tell me where you've been
You brought me in
You brought me in
So touch my skin and
Tell me where you've been
You showed me how
To keep myself from burning out

[Chorus]
They found you in the morning
The blood was on your shoulders
They found you at the corner
Your head was doubled over
And the blood of the man
Who killed my mother with his hands
Is in me, it's in me, in my veins
[Verse 2]
Please wake up
Please wake up
Touch my skin and
Tell me where you've been
You brought me in
My best friend
So touch my skin and
Tell me where you've been
You showed me how
To hold my sin
And kiss the bad ways I have been

[Chorus]
They found you in the morning
The blood was on your shoulders
They found you at the corner
Your head was doubled over
And the blood of the man
Who's killing our mother with his hands
Is in me, it's in me, in my veins
It's in me, it's in me, in my veins",3728253
"33","Magic Dealer","Big Thief",2019,"[Verse 1]
Starve, magic mirror
I thought the crumbs of your life wouldn't dry
It hurts to see clearer
Falling like needles, the passage of time

[Chorus]
Would it hurt, would it hurt to be nearer?
Heaven is stitching across me
My chest is the crossing
The blood is parting all the time, but I don't mind

[Verse 2]
Carve magic dealer
Bring me the company I couldn't buy
As I go cleaner
Falling like needles, the passage of time

[Chorus]
Would it help, would it help to go deeper?
I am the photograph in you
The photograph in you
Still as the moment we're lying in right now",4345993
"34","Open Desert","Big Thief",2019,"[Verse 1]
Vacant angel, crimson light
Darkened eyelash, darkened eye
The white light of the living room
Leaking through the crack in the door
There was never need for more
Things we're meant to understand
Crawling closer to your hand

[Chorus]
To the poison image
Brave surrender
Kiss the water

[Verse 2]
After all my teeth are gone
After all the blood is drawn
The white light of the waiting room
Leaking through the crack in the door

[Chorus]
Through the poison image
Brave surrender
Kiss the water
[Outro]
Through the mirror, mountain view
She has one green, one eye blue
I can see her smiling through
The white light of the living room
Leaking through the crack in the door",4345988
"35","Century","Big Thief",2019,"[Verse 1]
Dogs eyes in the headlights of the driveway
Cool autumn rain
Bugs died on your windshield on the freeway
Wonder if you'll be the same
Centuries flower

[Chorus]
And we have the same power
We have the same power
We have the same power
We have the same power

[Verse 2]
Moth flies in the window of the kitchen
You hang up your coat
Cold lips and gold eyes listen
There's something that I want you to know
Turn on the shower

[Chorus]
'Cause we have the same power
We have the same power
We have the same power
We have the same power
[Verse 3]
No resolution, no circling dove
Still caught in the jaw of confusion
Don't know what I'd do for love
But stay another hour

[Chorus]
'Cause we have the same power
We have the same power
We have the same power
We have the same power",4345989
"36","Strange","Big Thief",2019,"[Verse 1]
Doesn't it seem strange
Searching for a hidden page
The fairy’s cage
Coming of true age
Leave the costume on the stage
The silkworm's rage
Iridescent thread, beautiful and dead
Billions of worms were boiled to make the bed

[Chorus]
Strange, see the luna moth cry
Lime green tears through the fruit bat's eyes

[Verse 2]
Scatter and destroy
Every power you enjoy
To lay with the void
Twirling of the dime, splitting of the mind
Drawing constellations ’til the stars align
[Chorus]
Strange, see the luna moth cry (Cry)
Lime green tears through the fruit bat's eyes (Eyes)

[Outro]
You have wings of gold
You will never grow old
And turquoise lungs
You have never been young
You have wings of gold
You will never grow old
And turquoise lungs
You have never been young",4345990
"37","Betsy","Big Thief",2019,"[Verse 1]
Driving through the night
Rings of crystal, crystal light
Every gulp of the warm suburb air
Betsy's auburn, auburn hair

[Refrain]
Ooh, ooh

[Verse 2]
Drive into New York with me
How she keeps me calm
Street lights, boys and poison palms

[Refrain]
Ooh, ooh

[Bridge]
Drive into New York with me
Big lights in the city
[Refrain]
Ooh, ooh
Ooh, ooh
Ooh, ooh",4345991
"38","Jenni","Big Thief",2019,"[Verse 1]
Too hot to breathe
Too hot to breathe
Too hot to breathe

[Chorus]
Jenni's in my room
Jenni’s in my room
Jenni's in my room

[Verse 2]
Her skin so bare
The fragrant air
Her vacant eye

[Chorus]
Jenni's in my room
Jenni’s in my room
Jenni's in my room

[Verse 3]
The signal swarms
The portal forms
She calls me through
[Chorus]
Jenni's in my room
Jenni's in my room
Jenni's in my room

[Chorus]
Jenni's in my room
Jenni's in my room
Jenni
Jenni's in my room",4345992
"39","UFOF","Big Thief",2019,"[Verse 1]
To my UFO friend
Goodbye, goodbye
Like a seed in the wind
She's taking up root in the sky
See her flickering
Her system won't even try
To defend and ripen
In the radio action

[Verse 2]
She'll never return again
Polarize, polarize
The seasons will bend
There will soon be proof
That there is no alien
Just a system of truth and lies
The reason, the language
And the law of attraction

[Chorus]
Just like a bad dream
You'll disappear
Another map turns blue
Mirror on mirror
And I imagine you
Taking me outta here
To deepen our love
It isn't even a fraction
[Verse 3]
Switch to another lens
The last sunlight
I don't need any other friends
The best kiss I ever had is the flickering
Of the water so clear and bright
To leap in, my skin
And I could feel the reaction

[Chorus]
Just like a bad dream
You'll disappear
Another map turns blue
Mirror on mirror
And I imagine you
Taking me outta here
To deepen our love
It isn't even a fraction

[Instrumental Break]

[Chorus]
Just like a bad dream
You'll disappear
Another map turns blue
Mirror on mirror
And I imagine you
Taking me outta here
To deepen our love
It isn't even a fraction",4345980
"40","Contact","Big Thief",2019,"Jodi
Please turn the pages for me
You seem so free
You know I'm barely, barely

Wrap me in silk
I want to drink your milk
You hold the key
You know I'm barely, barely

Parker Lake Beach
All of the sunnys swimming
I wanna see
To feel my body sinking, sinking

She gives me gills
Helps me forgive the pills
She makes me sing
She is both dreamer and dream
And dream, and dream, and dream",4345985
"41","Cattails","Big Thief",2019,"[Verse 1]
Caroline, Caroline
I never could leave you to struggle
Hold the line, hold the line
I’ll be there on the double
In time, in time
Everyone does see trouble

[Chorus]
And you don’t need to know why when you cry
You don’t need to know why
You don’t need to know why when you cry

[Verse 2]
Violet’s eyes, Violet plays
Going back home to the Great Lakes
Where the cattail sways
With the lonesome loon
Riding that train in late June

[Chorus]
With the windows wide by my side
With the windows wide
With the windows wide by my side
[Verse 3]
And the clusters fell like an empty bell
Meteor shower at the motel
Where the empty space is a saving grace
Making good time and doing well
Still the question sings like Saturn’s rings
Maybe she knows and she won’t tell

[Chorus]
But you don’t need to know why when you cry
You don’t need to know why
You don’t need to know why when you cry

[Verse 4]
And I find you there in your country flair
Middle of the river in a lawn chair
With your wrinkled hands and your silver hair
Leaving here soon and you know where
To where the cattail sways with the lonesome loon
You’ll be riding that train in late June

[Chorus]
With the windows wide by your side
With the windows wide
With the windows wide by your side
You don’t need to know why
You don’t need to know why when you cry",4345986
"42","From","Big Thief",2019,"No one can be my man, be my man
Be my man, be my man
Be my man, be my man
No one can be my woman, be my woman
Be my woman

One ear to the ground
One dog at my neck
One tongue to my tongue
Wanting to protect me from, from

No one can be my man, be my man
Be my man, be my man
Be my man, be my man
No one can be my woman, be my woman
Be my woman

One ear to the floor
My dog barking loud
Couldn't tell for sure
Where the screaming sound
Was coming from, from
One ear to your womb
Puppy on the floor
Baby’s coming soon
Wonder if she'll know
Where she's come from, from
From, from
From, from",4345987
"43","Dandelion","Big Thief",2016,"He's old like the raspberry cold
Coming in the window
His gloom room
Flowers blooming out like armadillos

He looks to the left at the yellow lines
Moving with the traffic
His veins have turned to plastic blinds

He was new like the violet dew
Water looking at him through
The telescopic mountain view
Where the stars were still laughing

He lept into the northern sky
Filled his lungs with peach pie
Never even wondered why

Go with the yellow light
Your mind is a dandelion
The weight of your crooked spine
Is returning to snow
And though you are mostly now machines
Not electrical in dreams you're a rose
He's old like the raspberry cold
Coming in the window
His gloom room
Flowers then blooming out like armadillos

He walks with the owls in the yellow moon
Walks like a river lapping
His blood is thick and tacking

He was new like the violet dew
Water looking at him through
The telescopic mountain view
The stars were still laughing

He lept into the northern sky
Filled his lungs with peach pie
Never even wondered why

Go with the yellow light
Your mind is a dandelion
The weight of your crooked spine
Is returning to snow
And though you are mostly now machines
Not electrical in dreams you're a rose

He looks to the left
He looks to the left
He looks to the left
He looks to the left",4365079
"44","Masterpiece solo","Big Thief",2016,"Years, days, makes no difference to me babe
You look exactly the same to me
Ain't no time, crossing your legs inside the diner
Raising your coffee to your lips, the steam

You saw the masterpiece, she looks a lot like you
Wrapping her left arm around your right
Ready to walk you through the night

You whisper to a restless ear, “can you get me out of here?
This place smells like piss and beer, can you get me out?”
You were asking me, how to get you free
I only know the recipe to roam

You saw the masterpiece, she looks a lot like you
Wrapping her left arm around your right
Ready to walk you through the night

Old stars
Filling up my throat
You gave ’em to me when I was born
Now they're coming out
Laying there on the hospital bed
Your eyes were narrow, blue and red
You took a draw of breath and said to me
You say the masterpiece, she looks a lot like me
Wrapping my left arm round your right
Ready to walk you through the night

Old friends, old mothers, dogs and brothers
There's only so much letting go you can ask someone to do
So I’ll keep you by my side, I will not give you to the tide
I'll even walk you in my stride, Marie

Cause I saw the masterpiece, she looks a lot like you
Wrapping your left arm round my right
Ready to walk me through the night",4400587
"45","Terminal Paradise","Big Thief",2019,"[Verse 1]
Warm
So warm
Screaming in the field
As I was born
Worm
Will you return me
To the robin's beak?
I'll be a bird

[Chorus]
Terminal
We both know
Let the rest of me go
See my death become a trail
And the trail leads to a flower
I will blossom in your sail
Every dream and waking hour

[Verse 2]
Woman
Woman
Hold me in your heat
'Til I remember
[Chorus]
Terminal
We both know
Let me rest, let me go
See my death become a trail
And the trail leads to a flower
I will blossom in your sail
Every dream and waking hour",4521124
"46","Forgotten Eyes","Big Thief",2019,"[Verse 1]
Forgotten eyes are the ones which we lose
Forgotten hands are the ones which we choose
To let go of, but it is no less a bruise
On the collective arm keeping us high and gone
Forgotten dance is the one left at birth
Forgotten plants in the fossils of earth
And they've long passed but they are no less the dirt
Of the common soil keeping us dry and warm

[Chorus]
The wound has no direction
Everybody needs a home and deserves protection‚ hmm-mm

[Verse 2]
Hollow-eyed on Eddie Street‚ no sirens to hear
Just trash and soiled needles clawing the veneer
And no crying but it is no less a tear
On the common cheek with which we smile
Hollow-eyed on Eddie‚ is it they or is it I?
Is it me who is more hollow as I'm quickly passing by?
And the poison is killing them, but then so am I
As I turn away
[Chorus]
The wound has no direction
Everybody needs a home and deserves protection, hmm-mm

[Outro]
Forgotten tongue is the language of love
Forgotten tongue is the language of love
Forgotten tongue is the language of love
Forgotten tongue",4742584
"47","Rock and Sing","Big Thief",2019,"[Verse 1]
Without his body
Naked and bare
Quiet and obviously not there
I am that naked thing swimming in air
Why does that mean anything?
Why do you stare?

[Chorus 1]
Lean on your table
Ask what you want of me
I am unable
Cry with me, cry with me

[Verse 2]
Within this body
Confuse
Confuse my home for a refuge
I don't want to be scared of (I don't want to be scared of)
Anybody coming in (Anybody coming in)
I don't want to lock my door anymore
[Chorus 2]
Hand me that cable
Plug into anything
I am unstable
Rock and sing‚ rock and sing",4776346
"48","The Toy","Big Thief",2019,"[Verse 1]
What a fool, familiar dream
I wake up laughing and running
From the boy crying and calling
'Cause the toy in my hand is real

[Verse 2]
What a tomb we're building here
In the sphere, that's where we all die
In the eye, that's where I'm living
The toy in my hand is real

[Verse 3]
In the room, her warm hands play
On my breast, what is she singing?
The form ringing and ringing
'Cause the toy in my hand is real
The toy in my hand is real

[Verse 4]
Charcoal womb, the jet planes purr
And the croon, distant as paper
Children burn, faceless vapor
'Cause the toy in my hand is real
Yes, the toy in my hand is real",4776350
"49","Two Hands","Big Thief",2019,"[Verse 1]
You somehow let me down
Both hands and a gentleman
You could not take me through
New plans or tell me who
New friends, I can make some too
I know
You somehow took me in
Both arms, my marked up skin
Two hands, places you had been
I needed

[Chorus]
And the more that we try
To figure through the answers
To repeat ourselves
To deny, deny

[Verse 2]
Now you call my bluff
All clear and it gets so rough
Stone-faced in the light
The air and the jagged bite
Cold air, the wisdom of the night
Between us
[Chorus]
And the more that we try
To figure through the answers
To repeat ourselves
To deny, deny
To deny, deny, deny

[Verse 3]
Somehow we exist
In the folds, and now we'll kiss
Both hands, the mystery before us
She's reaching
But I could not take you through
New plans, or tell you who
New friends, you can make some too
I know",4776351
"50","Those Girls","Big Thief",2019,"[Verse 1]
Dropped call, mid fall
Only you can know for now
Island, demons
Only you can hold them down

[Chorus]
Those girls might hear me crying
The one, the only jealousy I have is dying
With all along, your arms around me
Try

[Verse 2]
Island, demons
Zoë, you come over now
'Cause those girls keep telling me things
And only you can hold them down

[Chorus]
Those girls might hear me crying
The one, the only jealousy I have is dying
With all along, your arms around me
Try
[Chorus]
Those girls might hear me cry
The one, the only jealousy I have is dying
With all along, your arms around me
Try",4776352
"51","Wolf","Big Thief",2019,"Hello to the morning moon
Woke up as you left the room
Pillow still warm
Scent like meadow grass

Has the feeling come to pass?
Has the feeling come to stay?
What can we say?
Wishing you would hang around

Living on the waterfront
Witnessing the gameless hunt
Mermaids don't kill
That's the way they sing so fine

Now your lips are on the line
Now there is a broken tongue
Met you so young
Felt so frozen

How you seem to follow through
On everything you yearn for
Steps so fair
So much certainty
Now as far as we can see
The water's getting deeper
My safekeeper
The wolf is howling for me

Ooh, ooh
Ooh, ooh

When she holds me in her jaw
All my blood dripping
Will I be free
To cease gripping?

Finally laying on the ground
Open hands empty
I'll return back again
If she'll let me

Ooh, ooh
Ooh, ooh",4776353
"52","Replaced","Big Thief",2019,"[Verse 1]
Move along through Santa Fe
And  make a new beginning
What's  that you were starting to say?
Or have you forgotten?

[Chorus]
'Cause, 'cause the unlit moon would rather hide
Be  replaced by the mystery of the stars
Because  in your room, we gather
To be replaced by the mystery of the heart

[Verse 2]
Pull  on your new wool coat
Try to remember the words you once wrote
The canyons that catch in your throat
The fault lines that carry and cradle the river

[Chorus]
'Cause,  'cause the unlit moon would rather hide
And be replaced by the mystery of the stars
Because in your room, we gather
To be replaced by the mystery of the heart (Go on, now)
[Chorus]
Because, because the unlit moon would rather hide
Be replaced by the mystery of the stars
Because in your room, we gather
To be replaced by the mystery of the heart
To be replaced by the mystery",4776354
"53","Cut My Hair","Big Thief",2019,"Please cut my hair
Take  me to the kitchen
What  are the chances you have a scissor?
Maybe a pair?
It's longer than I can even bear

You  wanna be alone
Use  your ammunition to empty your arm
You ask me to leave you, I won't
Not  while the knife is at your throat

Annie reminds me
The diamond mines are burning
I push her around
But  she keeps returning

Teeth drool and bared
Make a clean incision, hold me for ransom
Tell me I'm pretty, tell me I'm rare
Talk to the boy in me, he's there
We do-si-do
Swaying in the kitchen, rocking slowly
Tell him to sound the alarm
Is he gonna keep me safe from harm?

Annie reminds me
The diamond mines are burning
I push her around
But she keeps returning",4776355
"54","Spud Infinity","Big Thief",2021,"[Chorus]
What's it gonna take?
What's it gonna take?
What's it gonna take
To free the celestial body?

[Verse 1]
From way up there, it looks so small
From way down here, it looks so small
One peculiar organism aren't we all together?
Everybody steps on ants
Everybody eats the plants
Everybody knows to dance, even with just one finger

[Chorus]
What's it gonna take?
What's it gonna take?
What's it gonna take
To free the celestial body?

[Verse 2]
When I took another look
The past was not a history book
That was just some linear perception
Ash to ask and dust to dusk
A dime a dozen, aren't we just?
But a dozen dimes will buy a crust of garlic bread
[Chorus]
What's it gonna take?
What's it gonna take?
What's it gonna take
To free the celestial body?

[Verse 3]
When I say celestial
I mean extraterrestrial
I mean accepting the alien you've rejected in your own heart
When I say heart, I mean finish
The last one there is a potato knish
Baking too long in the sun of Spud Infinity
When I say infinity, I mean now
Kiss the one you are right now
Kiss your body up and down, other than your elbows
'Cause as for your elbows, they're on their own
Wandering like a rolling stone
Rubbing up against the edges of experience

[Chorus]
What's it gonna take?
What's it gonna take?
What's it gonna take?
What's it gonna take
To free the celestial body?
[Outro]
Woo",4963226
"55","High Tide","Big Thief",2018,"Hi old friend
How you been?
What’s that new glow in your eyes?
I can tell
You’re doing well
What’s that new look in your eyes
That took so long to realize?
That took so long to realize?
That took so long to realize?

Hi my dear
You’re finally here
The water’s rising up to my ears
Can I offer you a beer?
The kitchen’s rolling in the tide
I’ll dive down and get you one if you like
It took so long to realize
It took so long to realize
It took so long to realize
It took so long to realize
It took so long to realize",5122872
"56","Love in Mine","Big Thief",2020,"[Verse 1]
Put your love in mine
Let your body sing
When your words won't
Tell me everything

[Verse 2]
When I ramble on
And I often do
Remind me
To travel home to you

[Chorus]
Whatever comes
When it calls
Whatever leaves

[Verse 3]
What we leave behind
Like cicada shells
Will be hollowed
And eaten by the hills
[Chorus]
Whatever comes (whatever comes)
When it calls (when it calls)
Whatever leaves (whatever leaves)

Whatever comes
When it calls
Whatever leaves",5515025
"57","Mermaid Topanga Demo","Big Thief",2020,"[Verse 1]
Only a matter of time
Before we lose our mind
Only a matter of days left
Only a couple of ways down

[Chorus]
You know it don't feel so small
When you’re holding, I seem to call
Just reaching for her hand

[Verse 2]
Only a matter of aches
Before the body breaks
Only a matter of timing
Only a matter of ways down, goin'

[Chorus]
You know it don't feel so small
When you’re holding, I seem to call
Just reaching for her hand
[Verse 3]
Her psyche must be wild
'Cause just today I smiled
And I saw the number of letters
From the debt collectors that I left
You know it don't feel so small
Don't they know I owe nothing at all
Just reaching for her hand

[Verse 4]
The mermaids gather around
In the blood of New York Island
It's only a matter of time now, before
Before this land and your land, before
Before this land is my land, before
Before this land is her land, you know
That she's gonna gather a song
Give me guilt with nowhere to call
Just reaching for her hand",5783873
"58","Abysskiss Topanga Demo","Big Thief",2020,"[Verse 1]
Try and get some rest
I'll do the rest
Think to what the roses find
With the arms of passion
This is how we fashion
Wars remind
In the hour I loved you
Like a dream it was true
In the base of my pine

[Chorus]
Wilderness
Vast abyss
Will we ever kiss?

[Verse 2]
In her mother's fortress
She was brushing horses
Manes and tails, flicking flies
Naked as the window
Baby, if it's real so
No need to apologize
[Chorus]
Wilderness
Vast abyss
Will we ever kiss?

[Outro]
Blood is on her shoulder
Love is on the boulder
In the eyes, in the eyes
Love never leaves
Love is the leaves
In the sky, in the sky",5783880
"59","Blue and Red Horses Topanga Demo","Big Thief",2020,"[Verse 1]
Blue and red horses on the run
I think the angel is jumping the gun
Little red lantern watching the sun
Maybe the angel is jumping the gun

[Chorus]
I'm a lot of boy with a lot of nerve
Do you want to toy with me?
I'm a lot of boy with a lot of nerve
Do you want to toy with me?

[Verse 2]
Little red flower on your wrist
Maybe the angel fired and missed
Little red flowers on your wrist
I think the angel fired and missed

[Chorus]
I'm a lot of boy with a lot of nerve
Do you want to toy with me?
I'm a lot of boy with a lot of nerve
Do you want to toy with me?
[Verse 3]
Little red forest in your room
I hope the angel is getting here soon
Little red forest in your room
I hope the angel is getting here soon

[Chorus]
I'm a lot of boy with a lot of nerve
Do you want to toy with me?
I'm a lot of boy with a lot of nerve
Do you want to toy with me?

[Outro]
Little red flower, blue and red horses
Little red flower, blue and red horses
Little red forest, little red horses
Little red flower, little red horses
Little red forest
Little red forest
Little red forest
Little red forest
With a lot of nerve",5783883
"60","Live Young Topanga Demo","Big Thief",2020,"[Verse 1]
Pretty grey zombie
Feeding upon me
Please turn around
Show me your weary green eyes

[Verse 2]
Her heart is mangled
She's got me in a fable
Please follow through, please
Stay with me awhile

[Chorus]
Morning comes to divide the dreamer from the dream
To live young, to survive the one you can’t outrun
To live young

[Verse 3]
Him galloping [?]
I stumble and trot
I'm gonna learn whether you teach me or not
[Verse 4]
I'm going past her
I forgot to guard
Warm light
Fall tooth, learning to fall

[Chorus]
Ending comes to divide the dreamer from the dream
To live young, to survive the one you can’t outrun
To live young

[Outro]
Morning comes to divide the dreamer from the dream",5783890
"61","Over Topanga Demo","Big Thief",2020,"[Verse 1]
On your tongue
You yearn so young
The fragrant night

[Refrain]
It’s over but it’s alright
It’s over but it’s alright

[Verse 2]
Thread so bare
The silk worn yarn
Her rapid tight

[Refrain]
It’s over but it’s alright
It’s over but it’s alright
It’s over but it’s alright

[Verse 3]
What went wrong?
Your words were strong
Oh true light
[Refrain]
It’s over but it’s alright
It’s over but I'm true
It’s over but it’s alright
It’s over but it’s alright",5783899
"62","Jane Demo","Big Thief",2020,"[Verse 1]
Jane, lack of blood running down
My dream
One too many of the same
You came through
She belongs with her
And I belong there too

[Chorus]
I'll take her arm today and rescue
The draw that's all the time
The draw that's all the time
Pull through, pull through
The draw that's all the time
The draw that's all the time

[Verse 2]
Jo, pull back a little more
Let's roll
Just another bend to go
We'll make do
Cause I belong with me
And you belong here too
[Chorus]
I'll take your arm today
Unfold to
Thе draw that's all the time
The draw that's all thе time
Pull through, pull through
The draw that's all the time
The draw that's all the time

The draw that's all the time
The draw that's all the time
The draw that's all the time
The draw that's all the time",6105656
"63","Off You","Big Thief",2021,"I've laid this island sun a thousand times
I'm on it, but I'm going strange
This island's chills and shell cover me
With winded rock and skies I've yet to see

I tried, I even sent in friends
They did it as a favor, 'cause I'm not that way
I am the autumn and the scarlet
I am the make-up on your eyes

I land to sail, island sail
Yeah, we're movin', yeah, we're movin'

This island's sun I've laid a thousand times
Fortune me, fortune me
Of all of my mistakes I think I lent you late
Now every set pеrcent seems to come my way

But I've nеver seen a starlet
Or a riot or the violence of you
I am the autumn and the scarlet
I am the make-up on your eyes
I land to sail, island sail
Yeah, we're movin'
Yeah, we're movin'

I land to sail, island sail
Yeah, we're movin'
Yeah, we're movin'",6577002
"64","Change","Big Thief",2021,"[Intro]
Okay

[Verse 1]
Change like the wind
Like the water, like skin
Change like the sky
Like the leaves, like a butterfly

[Chorus 1]
Would you live forever, never die
While everything around passes?
Would you smile forever, never cry
While everything you know passes?

[Verse 2]
Death's like a door
To a place we've never been before
Death, like space
The deep sea, a suitcase
[Chorus 2]
Would you stare forever at the sun
And never watch the moon rising?
Would you walk forever in the light
To never learn the secret of the quiet night?

[Verse 3]
Still like a stone
Like a hill, like home
Still, what I find
Is you are always on my mind

[Chorus 3]
Could I feel happy for you
When I hear you talk with her like we used to?
Could I set everything free
When I watch you holding her the way you once held me?

[Verse 4]
Change like the sky
Like the leaves, like a butterfly
Death, like a door
To a place we've never been before

[Chorus 1]
Would you live forever, never die
While everything around passes?
Would you smile forever, never cry?",6906796
"65","Branches","Big Thief",2016,"[Verse]
How we would wake up warming
In the morning by the kerosene
Outside the banks were forming
Like an ocean of evangeline

[Chorus]
I live and dream
You live and dream
In the branches of the evergreen

[Verse]
We take Betsy walking
In the back field by the lumber yard
Sammy cut worms with bare hands
And I loved him with all of my heart

[Chorus]
I live and dream
You live and dream
In the branches of the еvergreen
I live and dream
You livе and dream
In the branches of the evergreen
[Verse]
Crossing the ice a [?]
And the dogs were a-howling
And you said the tram
You said the tram
You said the tram would come soon
With a breath that was flowering

[Chorus]
I live and dream
You live and dream
In the branches of the evergreen
I live and dream
You live and dream
In the branches of the evergreen",6961238
"66","In Your Hair","Big Thief",2016,"[Verse]
Some man told me it's all in the ripple
Cast that stone and see how it triples
I've been living on the dimes and the nickles
Not that starlight means something simple
I can see you stuck like a stone in the ground
Burning all those bridges that you found
Adam even told you as you ate the apple down
This is for the body so the flesh can be profound

[Pre- Chorus]
Following the detonation line
Hoping that I get to you in time to let you know

[Chorus]
In your hair, in your hair
In your hair, in your hair
Yeah your hair's so sweet and I just want to live there
In your hair, in your hair

[Verse]
Darling dole me, give me a nipplе
I could suck like a lake to a trickle
Oh I mеan it honey I ain't fickle
Bight my thigh like a wide-eyed pit bull
Oh and that night when the moon shone bright on your face
Wearing all your finest and the lace
I was always running, you were in it for the chase
Would you want me honey if I up and quit the race?
[Pre- Chorus]
Following the detonation line
Hoping that I get to you in time to let you know

[Chorus]
In your hair, in your hair
In your hair, in your hair
Yeah your hair's so sweet and I just want to live there
In your hair, in your hair

In your hair, in your hair
In your hair, in your hair
Yeah your hair's so sweet and I just want to live there
In your hair, in your hair",6961246
"67","If Love Is Blind?","Big Thief",2021,"[Verse 1]
Say the word
And I’ll be coming back again
Like a bird
I’ll fly across the water on the wind

[Chorus 1]
If love is blind
How did I find you, how?
And you ripple like a dream
Over the machine of this town
And you know no limits

[Verse 2]
True and rare
To travel through the chambers of your care
Soft and true
To welcome in the emptiness with you

[Chorus 2]
If love is kind
How can I find you now
When you echo like a dream
Over the machine of this town?
And you know no limits
[Verse 3]
Tuesday morn'
I saw some stars die, some were born
No surprise
The embers meet the image in our eyes

[Chorus 3]
If love will grow
How can we follow the light
Which ripples like a dream
Over the serene of the night?
And it knows no limits",6961263
"68","Sparrow","Big Thief",2021,"[Verse 1]
Wrapped in the wings of a sparrow
Beak is as sharp as an arrow
Sings in a whispering whistle
Sleeps in the ivy and thistle
Owls out swooping and howling
Deep in the midnight a-prowling
Mama, the scream of the eagle
Threading my heart through the needle
Threading the blood through the apple
Sucking the juice from the apple
Eating the seeds of the apple
Bearing the tree of the apple
Trapped in the weeds like a scarecrow
Stuck to the wind like Velcro
Distantly hearing the bell toll
Warbling chime through the meadow

[Verse 2]
Mama, the scream of the eagle
Threading my heart through the needle
Threading the blood through the apple
Eve sucked the juice from the apple
Nakedly running, I saw her
Boy chasing after to stall her
I wish I'd have spoken to call her
Before she found fabric to shawl her
Breasts bound and burdened with fiber
Adam came trembling beside her
And he said, and he said
That she has the poison inside her
She talks to snakes and they guide her
She has the poison inside her
She talks to snakes and they guide her
She has the poison inside her
She talks to snakes and they guide her
She has the poison inside her
She talks to snakes and they guide her",6961280
"69","10 miles Wide Winged Bird Version","Big Thief",2018,"To die in your arms
Your words forming again
We kiss very hard and wild
To rise in the dark
Like birds, preying on skin
We pray with our oxygen

And Joe, nothing is real
But we still have that feel
You're closing up the bar
And I'm warming up the car
Ten miles away

Two children of ours
They came twirling in
We laughed very hard, for a while
But they've grown very far
And tall, how we miss them
Though happy they're travelling

And Joe, nothing is real
But we still have that feel
You're closing up the bar
And I'm warming up the car
Ten miles away
We set no alarm, eyes wide
6am wake up on the farm
Slowly walk to the barn
Horse feed, you take the yarn
I'll read
I'll read

Joe nothing is real
We still have that feel
You're closing up the bar
And i'm warming up the car
10 miles away

To die in your arms
Your words forming again",6974293
"70","Wide Winged Bird IX Untitled Demo","Big Thief",2018,"[Verse 1]
Just leave me alone
And I never phone
Another mile
Of roses
She's hanging up and out
And putting on a coat
He waits a while
Door closes

[Chorus]
But he already know about her
He already knew about her
She is an an-
We already know about her
He already knew about her
She is and angel

[Break]
(So he said you were my best friend)
([?] what is for friend to burn why)
[Verse 2]
From the patio
He wa- watches as she goes
Her walking style
Like a willow
And now it fades to black
He's never coming back
And all the while
To the pillow

[Chorus]
But he already knew about her
He already knew about her
She is an angel
But he already knew about her
He already knew about her
She, she is an angel",6974321
